S.No,Axial RMS Acceleration(m/sec2),Axial RMS Velocity(mm/sec),Horizontal RMS Acceleration(m/sec2),Horizontal RMS Velocity(mm/sec),Vertical RMS Acceleration(m/sec2),Vertical RMS Velocity(mm/sec),Noise (db),Temperature (degC),Current(A)
339,18.3605,8.282,9.886,5.787,10.3045,13.0205,101.818,53.013,7.86
340,18.764,7.48,9.825,5.467,11.629,12.158,101.631,53.005,7.62
341,19.1095,7.964,10.3915,5.455,11.0815,11.6105,101.328,53.013,7.64
342,16.538,8.153,10.619,5.982,10.467,11.944,100.38,53.013,7.53
343,18.73,8.83,11.042,5.809,11.935,11.975,98.189,53.013,7.6
344,17.312,7.32,9.9215,5.7145,10.248,11.5665,98.151,53.02,7.49
345,17.907,5.929,10.034,6.128,10.224,12.135,98.657,53.013,7.6
346,16.931,9.032,10.243,6.422,10.283,11.407,101.416,53.013,7.58
347,19.979,7.902,10.82,5.553,11.022,11.17,99.5,53.028,7.66
348,20.5545,7.9475,10.3795,5.895,11.587,12.739,99.685,53.028,7.8
349,19.25,7.147,10.059,5.99,10.719,12.221,95.372,53.052,7.56
350,17.9825,7.3245,9.947,5.3925,10.2585,11.4895,100.786,53.059,7.66
351,19.068,7.225,9.97,4.999,10.223,10.986,99.344,53.075,7.47
352,20.513,7.238,10.603,6.051,11.88,11.857,100.619,53.083,7.6
353,18.3595,7.276,9.824,5.8955,11.217,10.593,101.633,53.091,7.66
354,18.676,7.916,10.316,5.351,10.969,14.05,101.88,53.098,7.9
355,18.87,8.037,10.04,6.409,10.9,12.332,99.681,53.106,7.64
356,19.648,7.207,10.7595,5.916,10.932,12.0935,100.674,53.114,7.68
357,17.804,7.706,10.545,5.618,10.759,12.209,100.895,53.122,7.55
358,19.407,7.1755,10.679,5.3145,11.1435,11.6915,101.553,53.13,7.57
359,18.816,6.42,10.51,6.157,11.483,13.006,100.037,53.138,7.67
360,17.95,7.969,9.742,5.948,10.118,12.441,99.952,53.145,7.79
361,19.622,8.0215,10.097,5.9755,10.735,12.3775,96.191,53.145,7.57
362,18.536,7.729,9.066,4.674,10.561,10.304,100.703,53.153,7.65
363,16.8185,8.3035,10.0665,5.651,10.3335,14.2535,100.886,53.145,7.48
364,18.183,9.047,10.915,6.296,10.17,13.006,101.196,53.145,7.59
365,19.984,8.483,9.994,5.424,10.671,11.65,100.11,53.145,7.67
366,18.6325,6.947,9.917,6.0545,10.5845,12.874,101.046,53.145,7.89
367,17.902,6.878,11.412,6.425,10.594,12.217,102.439,53.145,7.65
368,18.424,9.581,9.723,5.613,10.253,11.672,102.152,53.145,7.67
369,17.92,8.1745,9.9495,5.6155,10.69,12.058,102.611,53.145,7.56
370,21.442,8.53,9.971,7.035,11.596,13.197,101.552,53.145,7.63
371,18.521,7.917,10.7195,6.7985,11.961,13.2255,98.086,53.145,7.52
372,17.975,8.332,9.317,4.878,9.794,11.773,97.325,53.145,7.63
373,18.719,8.214,10.383,5.379,11.167,11.633,100.213,53.145,7.61
374,19.307,8.802,11.1025,5.5505,10.412,13.117,100.903,53.145,7.69
375,15.819,7.414,10.103,5.54,9.978,11.453,98.972,53.145,7.83
376,18.583,7.533,11.0305,7.2845,11.2975,15.033,100.13,53.145,7.59
377,20.358,6.613,10.118,6.55,10.305,12.271,98.172,53.145,7.69
378,18.998,7.864,10.446,5.647,10.929,12.588,100.857,53.145,7.5
379,19.432,8.579,10.9345,6.244,11.2275,13.215,101.333,53.145,7.63
380,17.482,6.442,10.891,5.621,10.336,11.772,98.234,53.145,7.69
381,18.6355,7.3445,10.615,6.237,11.85,11.8605,100.245,53.145,7.93
382,18.512,7.874,9.666,5.459,11.12,11.479,103.381,53.145,7.67
383,18.378,7.268,11.856,6.487,10.413,12.037,100.996,53.145,7.71
384,18.9345,8.686,9.418,5.7965,10.8,13.2235,98.746,53.145,7.58
385,18.586,7.035,9.892,6.772,11.06,12.886,98.201,53.145,7.6
386,20.187,7.583,9.993,6.06,10.893,13.382,102.461,53.145,7.7
387,20.02,7.8795,10.9275,6.049,10.942,12.4845,102.496,53.145,7.82
388,19.75,8.094,10.327,5.137,11.081,11.532,96.411,53.145,7.6
389,18.7255,7.0185,11.045,6.3335,10.9375,13.0545,98.839,53.145,7.68
390,18.941,6.273,10.591,6.04,10.715,12.974,99.913,53.145,7.51
391,16.71,5.993,10.237,5.917,10.614,11.755,99.603,53.145,7.62
392,18.1755,7.636,10.3775,6.1785,12.148,12.389,99.46,53.145,7.7
393,18.687,7.677,11.413,5.179,11.235,12.894,102.391,53.145,7.92
394,18.97,8.668,11.094,5.826,11.326,11.646,99.72,53.145,7.68
395,19.358,7.228,11.609,6.0865,10.7265,12.9265,100.542,53.145,7.7
396,19.211,7.694,9.924,6.556,12.115,14.768,99.103,53.145,7.59
397,18.2575,7.1545,10.399,5.664,10.487,11.5915,101.279,53.145,7.66
398,19.673,8.192,11.859,6.38,10.832,12.317,98.608,53.145,7.55
399,18.199,7.287,9.904,4.965,10.147,11.338,100.537,53.145,7.66
400,18.417,7.8745,10.964,6.0935,10.373,12.5095,98.182,53.145,7.64
401,20.238,7.645,10.215,5.873,10.227,12.284,95.187,53.145,7.72
402,18.692,7.717,10.669,7.313,10.847,14.3675,101.172,53.145,7.86
403,19.355,7.419,9.94,5.584,9.576,11.951,100.094,53.145,7.62
404,17.609,6.791,9.515,5.744,9.586,11.846,100.609,53.145,7.72
405,18.371,7.6095,10.0205,5.6755,10.944,13.223,98.799,53.145,7.53
406,17.712,7.048,11.722,5.363,9.587,11.275,97.599,53.145,7.66
407,20.244,8.672,10.878,5.91,11.169,12.661,102.089,53.145,7.72
408,18.103,7.5995,10.386,6.2045,10.786,12.747,99.979,53.145,7.96
409,19.56,7.78,9.283,4.598,10.669,11.342,97.742,53.145,7.7
410,17.445,6.7115,9.634,5.9215,10.5855,14.1215,104.103,53.145,7.74
411,18.47,7.161,8.695,6.208,10.955,15.14,100.214,53.145,7.61
412,19.971,8.018,10.941,5.906,11.196,11.917,100.467,53.145,7.63
413,17.489,6.97,10.409,5.846,10.792,12.0645,100.828,53.145,7.73
414,19.64,8.104,10.846,5.652,11.237,11.94,100.231,53.145,7.85
415,19.7525,7.5995,10.7275,6.052,11.215,12.4,101.897,53.145,7.63
416,19.026,10.393,9.474,5.589,10.366,12.305,98.665,53.145,7.71
417,19.8,7.321,10.303,4.726,10.333,11.6,99.914,53.145,7.54
418,17.917,7.0615,10.6,5.8055,10.0475,11.9475,101.909,53.145,7.65
419,16.238,8.566,9.209,5.23,9.717,11.208,101.446,53.145,7.73
420,17.0205,7.1555,10.049,5.6375,10.629,13.4235,101.64,53.145,7.95
421,19.093,7.86,9.436,6.406,11.015,14.54,103.086,53.145,7.71
422,18.374,7.402,9.704,5.913,9.996,11.273,100.171,53.145,7.73
423,18.921,7.9365,10.378,6.1405,11.6155,13.614,92.868,53.145,7.62
424,20.043,9.097,9.952,5.11,10.455,11.682,102.461,53.145,7.69
425,21.42,7.992,10.471,5.715,11.056,12.819,103.258,53.145,7.58
426,19.634,7.6345,10.0395,5.7905,10.6785,12.4595,100.691,53.145,7.69
427,18.792,8.135,10.877,5.629,10.277,11.925,99.928,53.145,7.67
428,18.753,8.289,10.602,5.5765,10.25,11.927,101.221,53.145,7.75
429,18.479,7.985,9.86,5.276,11.117,11.828,101.477,53.145,7.89
430,18.78,7.12,11.749,7.515,10.829,16.913,102.49,53.145,7.65
431,18.466,6.8585,9.4445,5.85,9.852,11.927,101.526,53.145,7.75
432,18.306,7.966,9.518,6.038,10.067,15.631,101.474,53.145,7.56
433,18.367,9.157,9.665,6.068,11.008,12.275,100.485,53.145,7.69
434,19.79,8.0885,10.403,6.541,10.4505,14.286,99.35,53.145,7.75
435,20.537,10.974,11.63,6.467,10.993,11.772,98.572,53.145,7.99
436,18.4855,7.1145,10.481,6.0855,10.7205,12.192,98.297,53.145,7.73
437,19.144,6.245,10.867,6.202,10.054,13.508,99.04,53.145,7.77
438,20.17,8.053,10.212,5.499,10.477,11.709,96.156,53.145,7.64
439,18.3375,8.0325,10.593,6.917,10.926,15.281,100.004,53.145,7.66
440,20.606,8.736,10.742,5.315,10.748,12.369,100.488,53.145,7.76
441,19.3095,7.889,9.981,5.6695,10.6,12.213,102.165,53.145,7.88
442,17.7,6.347,10.709,6.893,11.328,14.327,101.94,53.145,7.66
443,20.342,8.108,10.86,5.814,10.66,12.373,102.472,53.145,7.74
444,17.4255,N/A,10.7645,6.273,10.801,12.416,100.978,53.145,N/A
445,16.836,6.459,9.679,6.123,None,12.22,96.669,53.145,7.68
446,16.842,8.119,10.272,6.832,10.753,13.158,100.037,53.145,7.76
447,18.407,8.395,9.731,6.105,10.585,11.9735,103.985,53.145,7.98
448,19.537,7.66,10.526,5.039,9.795,12.838,99.776,53.145,7.74
449,17.9575,6.9865,10.806,6.0365,10.348,11.525,99.23,53.145,7.76
450,16.457,6.921,10.15,5.469,10.479,11.973,99.296,53.145,N/A
451,18.658,8.182,10.988,5.59,11.04,13.031,99.778,53.145,7.72
452,17.8895,7.978,10.439,5.5605,10.581,12.331,97.464,53.145,7.61
453,19.854,7.323,10.513,6.101,11.272,12.001,97.671,53.145,7.72
454,19.1135,8.0155,9.825,5.48,10.175,11.7145,100.361,53.145,7.7
455,21.252,7.972,11.284,6.27,11.225,12.987,102.679,53.145,7.78
456,18.788,7.483,9.986,4.979,10.536,11.204,99.544,53.145,7.92
457,20.2105,7.8645,10.827,5.5525,10.744,11.0895,102.399,53.145,7.68
458,17.321,6.303,11.133,N/A,10.541,15.87,101.536,53.145,7.78
459,20.313,8.429,10.26,5.418,10.287,11.179,101.392,53.145,7.59
460,18.6815,7.274,10.9065,6.8235,11.0215,14.321,102.657,53.145,N/A
461,19.671,7.72,10.335,5.518,10.992,11.571,101.618,53.145,7.78
462,18.755,7.195,10.599,5.8745,11.0205,11.773,98.669,53.145,8.02
463,17.995,7.694,9.42,6.21,9.999,14.074,102.194,53.145,7.76
464,17.727,7.659,10.902,5.659,N/A,11.695,N/A,53.145,7.8
465,18.902,7.28,10.5595,6.0935,11.054,12.5725,99.519,53.145,7.67
466,19.294,8.596,10.129,5.638,10.12,11.848,98.783,53.145,7.69
